#{"t_start": 1749414665.4811, "env_id": "foraging_envs/foraging-three"}
r,l,t
409.502925,5000,123.508023
573.150367,5000,124.40872
396.586621,5000,125.279819
422.138817,5000,126.20771
411.834214,5000,127.43495
521.431438,5000,128.34991
491.246669,5000,129.312254
449.147751,5000,130.158451
490.763714,5000,131.075869
428.082327,5000,131.998939
498.653132,5000,132.929562
450.223538,5000,133.860518
409.330208,5000,134.791919
468.375103,5000,135.776936
385.383464,5000,137.230989
463.885887,5000,138.186642
521.175833,5000,139.290352
464.474399,5000,140.348594
418.91578,5000,141.368362
446.572028,5000,142.301165
481.904433,5000,143.213609
499.924953,5000,144.103366
486.057902,5000,145.015188
510.116024,5000,145.92083
462.937165,5000,147.19526
456.839817,5000,148.10298
480.523331,5000,149.034908
477.206264,5000,149.977672
491.751466,5000,150.895848
444.756674,5000,151.81303
458.927371,5000,152.679735
404.411866,5000,153.543617
484.241442,5000,154.481347
478.361443,5000,155.310328
502.0305,5000,156.535862
429.879961,5000,157.442353
425.147321,5000,158.361172
428.284727,5000,159.318667
512.594687,5000,160.140412
506.152018,5000,161.014724
463.023837,5000,161.896095
454.473011,5000,162.785013
415.795134,5000,163.664591
458.56275,5000,164.535967
432.104559,5000,165.930007
485.672377,5000,166.809772
454.391157,5000,167.664094
503.950073,5000,168.528261
431.49644,5000,169.367614
516.77302,5000,170.358575
523.518354,5000,171.195485
409.434184,5000,172.080182
442.246352,5000,173.004387
511.379666,5000,173.887493
1194.522585,5000,175.168508
1187.411177,5000,176.031622
1191.394334,5000,176.972194
1190.207929,5000,177.841817
1195.282898,5000,178.72424
1199.875252,5000,179.557452
1194.479643,5000,180.398888
1199.952441,5000,181.277702
1193.376142,5000,182.119042
1197.361558,5000,182.964895
449.112015,5000,184.185656
421.975573,5000,185.074123
523.558676,5000,185.953544
361.4955,5000,186.856489
461.886185,5000,187.729076
405.943212,5000,188.541486
461.213812,5000,189.35159
443.786848,5000,190.203357
449.133879,5000,191.058489
413.977252,5000,191.906623
468.992273,5000,193.238666
463.258989,5000,194.149199
455.483654,5000,195.021794
435.095185,5000,195.880306
513.956339,5000,196.721755
489.442432,5000,197.646392
487.742258,5000,198.562914
437.63348,5000,199.395571
526.495109,5000,200.283278
453.935541,5000,201.127248
505.229532,5000,202.400567
425.025275,5000,203.356529
506.216601,5000,204.214599
421.034685,5000,205.061111
424.4266,5000,205.921705
482.523948,5000,206.756778
415.699971,5000,207.624106
464.35757,5000,208.584675
434.473222,5000,209.471379
541.000097,5000,210.373071
421.963597,5000,211.694599
416.206412,5000,212.579606
497.315949,5000,213.458862
408.180284,5000,214.353313
426.103786,5000,215.193509
414.390109,5000,216.008533
461.603154,5000,216.84043
443.322564,5000,217.682754
443.252144,5000,218.556344
507.74473,5000,219.391733
386.5856,5000,220.688179
417.394131,5000,221.808722
476.450565,5000,222.709557
411.751974,5000,223.614624
463.98351,5000,224.464731
476.808597,5000,225.361574
411.510065,5000,226.190842
435.443117,5000,227.0582
429.988393,5000,227.94496
484.232586,5000,228.790092
455.074786,5000,229.991684
447.158549,5000,230.897073
484.511018,5000,231.752239
507.432741,5000,232.619361
445.755393,5000,233.520908
459.195919,5000,234.385784
528.822979,5000,235.262976
480.818737,5000,236.083097
467.234567,5000,236.912855
533.717597,5000,237.721103
427.73908,5000,238.938583
433.69901,5000,239.754453
506.946406,5000,240.580097
505.398788,5000,241.475664
461.332846,5000,242.364321
514.815144,5000,243.268968
440.811762,5000,244.180699
448.236987,5000,245.10051
523.716576,5000,245.98281
462.006526,5000,247.040862
415.188316,5000,248.374187
461.042839,5000,249.232782
436.999687,5000,250.129955
398.341351,5000,251.008558
430.738661,5000,251.868254
560.057406,5000,252.734678
441.930157,5000,253.605026
457.744174,5000,254.495078
458.846252,5000,255.345397
422.686983,5000,256.222569
512.481041,5000,257.477968
470.64555,5000,258.350937
497.415533,5000,259.243342
476.336165,5000,260.195572
446.967099,5000,261.073342
421.524164,5000,261.963933
463.215729,5000,262.775581
477.775239,5000,263.59032
419.578296,5000,264.434385
512.190238,5000,265.291432
506.912035,5000,266.564372
484.120426,5000,267.339974
482.174044,5000,268.145501
469.296789,5000,269.000647
398.843234,5000,269.851874
496.883235,5000,270.692417
435.649026,5000,271.493577
460.375398,5000,272.340669
514.388166,5000,273.165043
481.853872,5000,273.994415
460.01466,5000,275.13136
469.557131,5000,275.927261
477.126626,5000,276.748814
438.748105,5000,277.539737
485.034421,5000,278.329073
446.144467,5000,279.148729
479.086528,5000,280.022476
471.096449,5000,280.913489
480.521989,5000,281.759028
450.766588,5000,282.658287
492.193778,5000,283.917404
490.435399,5000,284.802026
442.062275,5000,285.642928
441.337103,5000,286.491255
420.719774,5000,287.399412
